"Tabela 2031 - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência por posição na ocupação e categoria do emprego no trabalho principal"
"Variável - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência - percentual do total geral"
"Cód.","Município","Ano x Posição na ocupação e categoria do emprego no trabalho principal"
"Cód.","Município","2000",,,,,,,,,"2010"
"Cód.","Município","Total","Empregado","Empregado - com carteira de trabalho assinada","Empregado - militar e funcionário público estatutário","Empregado - outro sem carteira de trabalho assinada","Não remunerado em ajuda a membro do domicílio","Trabalhador na produção para o próprio consumo","Empregador","Conta própria","Total","Empregado","Empregado - com carteira de trabalho assinada","Empregado - militar e funcionário público estatutário","Empregado - outro sem carteira de trabalho assinada","Não remunerado em ajuda a membro do domicílio","Trabalhador na produção para o próprio consumo","Empregador","Conta própria"
"1302900","Maués (AM)","100.00","37.52","6.37","8.89","22.26","12.11","17.63","0.79","31.94","100.00","32.36","8.00","5.71","18.65","3.58","27.41","0.71","35.94"
"1303007","Nhamundá (AM)","100.00","32.19","8.20","8.07","15.92","12.34","14.83","0.16","40.48","100.00","30.25","3.88","4.09","22.28","7.84","16.28","0.61","45.02"
"1303106","Nova Olinda do Norte (AM)","100.00","23.76","6.31","3.04","14.42","4.09","33.02","1.19","37.94","100.00","31.86","7.34","4.13","20.38","12.70","26.42","0.44","28.59"
"1303205","Novo Airão (AM)","100.00","47.81","4.30","6.40","37.11","2.86","11.23","0.99","37.11","100.00","47.03","9.62","12.32","25.09","0.51","25.91","0.38","26.16"
"1303304","Novo Aripuanã (AM)","100.00","27.03","6.03","9.36","11.64","8.68","24.67","0.87","38.76","100.00","40.73","5.40","11.46","23.88","3.28","29.67","0.43","25.89"
"1303403","Parintins (AM)","100.00","40.69","10.95","4.27","25.47","13.47","5.40","1.21","39.22","100.00","50.58","14.82","4.16","31.59","3.53","10.90","1.15","33.84"
"1303502","Pauini (AM)","100.00","23.75","4.61","6.35","12.79","18.06","38.43","0.36","19.41","100.00","32.35","2.83","3.06","26.46","5.61","45.57","1.03","15.43"
"1303536","Presidente Figueiredo (AM)","100.00","60.24","27.63","11.27","21.35","2.94","9.25","1.13","26.44","100.00","58.94","26.65","10.77","21.53","3.05","6.37","0.54","31.09"
"1303569","Rio Preto da Eva (AM)","100.00","55.00","9.13","6.98","38.89","10.17","5.61","0.80","28.42","100.00","57.10","12.07","7.89","37.14","5.96","13.23","0.54","23.17"
"1303601","Santa Isabel do Rio Negro (AM)","100.00","30.47","2.85","13.23","14.38","3.23","52.65","-","13.65","100.00","38.46","2.10","8.86","27.51","1.03","29.17","0.14","31.20"
"1303700","Santo Antônio do Içá (AM)","100.00","19.10","3.82","4.52","10.76","6.15","38.17","0.33","36.26","100.00","26.71","6.05","2.42","18.25","8.28","45.79","0.70","18.52"
"1303809","São Gabriel da Cachoeira (AM)","100.00","47.96","11.36","19.99","16.61","2.36","29.35","0.98","19.35","100.00","54.44","10.20","15.30","28.93","1.61","30.21","0.51","13.24"
"1303908","São Paulo de Olivença (AM)","100.00","16.88","1.28","7.93","7.68","3.32","58.12","0.37","21.32","100.00","19.56","3.59","4.00","11.97","8.96","48.68","0.63","22.17"
"1303957","São Sebastião do Uatumã (AM)","100.00","29.00","2.21","8.80","17.99","16.56","22.85","0.23","31.36","100.00","39.80","6.55","4.62","28.63","2.66","27.11","0.09","30.33"
